Fahrten,Namen
185,Bern - Mattstetten
73,Bern - Fraubrunnen
32,Mattstetten - Thun
20,Köniz - Mattstetten
10,Jegenstorf - Thun
9,Mattstetten - Münsingen
5,Mattstetten - Steffisburg
4,Mattstetten - Olten
4,Langnau im Emmental - Mattstetten
4,Düdingen - Mattstetten
3,Bern - Rüderswil
3,Hilterfingen - Mattstetten
3,Laupen - Mattstetten
3,Mattstetten - Schwarzenburg
3,Jegenstorf - Münsingen
2,Langenthal - Mattstetten
2,Mattstetten - Spiez
2,Mattstetten - Zürich
2,Ins - Mattstetten
2,Bätterkinden - Ostermundigen
