Fahrten,Namen
850,Bern - Mattstetten
79,Bern - Fraubrunnen
47,Mattstetten - Ostermundigen
40,Bern - Bäriswil
37,Mattstetten - Thun
26,Köniz - Mattstetten
21,Mattstetten - Münsingen
12,Bern - Lyssach
10,Jegenstorf - Thun
9,Mattstetten - Steffisburg
9,Bern - Lützelflüh
8,Jegenstorf - Ostermundigen
7,Herzogenbuchsee - Mattstetten
7,Bern - Hindelbank
6,Mattstetten - Wohlen bei Bern
6,Mattstetten - Wichtrach
6,Mattstetten - Worb
6,Kerzers - Mattstetten
5,Laupen - Mattstetten
5,Mattstetten - Seedorf (BE)
