Fahrten,Namen
124,S8 (Regionalverkehr Bern-Solothurn)
39,RE5 (Regionalverkehr Bern-Solothurn)
17,884 (Autobusbetrieb RBS)
15,S44 (BLS AG (bls))
4,M11 (Busbetrieb Solothurn und Umgebung)
4,36 (Autobusbetrieb RBS)
4,465 (Busland AG)
3,10 (Städtische Verkehrsbetriebe Bern)
3,S7 (Regionalverkehr Bern-Solothurn)
2,20 (Städtische Verkehrsbetriebe Bern)
2,12 (Städtische Verkehrsbetriebe Bern)
2,M53 (Busbetrieb Solothurn und Umgebung)
1,S4 (BLS AG (bls))
1,S2 (BLS AG (bls))
1,S20 (Schweizerische Bundesbahnen SBB)
1,S31 (BLS AG (bls))
1,9 (Städtische Verkehrsbetriebe Bern)
1,507 (Busbetrieb Olten-Gösgen-Gäu)
1,41 (Autobusbetrieb RBS)
1,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
