Fahrten,Namen
209,RE5 (Regionalverkehr Bern-Solothurn)
93,884 (Autobusbetrieb RBS)
25,20 (Städtische Verkehrsbetriebe Bern)
9,12 (Städtische Verkehrsbetriebe Bern)
8,882 (PostAuto AG)
7,S2 (BLS AG (bls))
6,10 (Städtische Verkehrsbetriebe Bern)
5,466 (Busland AG)
5,8 (Städtische Verkehrsbetriebe Bern)
4,IR65 (BLS AG (bls))
3,6 (Städtische Verkehrsbetriebe Bern)
3,7 (Städtische Verkehrsbetriebe Bern)
2,S1 (BLS AG (bls))
2,RE1 (BLS AG (bls))
1,363 (Autobusbetrieb RBS)
1,9 (Städtische Verkehrsbetriebe Bern)
1,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
1,IR17 (BLS AG (bls))
1,S51 (BLS AG (bls))
1,106 (PostAuto AG)
