Fahrten,Namen
133,RE5 (Regionalverkehr Bern-Solothurn)
27,884 (Autobusbetrieb RBS)
9,20 (Städtische Verkehrsbetriebe Bern)
6,12 (Städtische Verkehrsbetriebe Bern)
6,S2 (BLS AG (bls))
3,8 (Städtische Verkehrsbetriebe Bern)
3,IR65 (BLS AG (bls))
2,7 (Städtische Verkehrsbetriebe Bern)
2,10 (Städtische Verkehrsbetriebe Bern)
2,6 (Städtische Verkehrsbetriebe Bern)
2,RE1 (BLS AG (bls))
2,S1 (BLS AG (bls))
1,9 (Städtische Verkehrsbetriebe Bern)
1,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
0,S51 (BLS AG (bls))
0,IC81 (Schweizerische Bundesbahnen SBB)
0,S4 (BLS AG (bls))
0,S7 (Regionalverkehr Bern-Solothurn)
0,11 (Städtische Verkehrsbetriebe Bern)
0,21 (Städtische Verkehrsbetriebe Bern)
