Fahrten,Namen
211,RE5 (Regionalverkehr Bern-Solothurn)
68,2 (Busbetrieb Solothurn und Umgebung)
21,20 (Städtische Verkehrsbetriebe Bern)
9,12 (Städtische Verkehrsbetriebe Bern)
6,10 (Städtische Verkehrsbetriebe Bern)
6,S7 (Regionalverkehr Bern-Solothurn)
5,8 (Städtische Verkehrsbetriebe Bern)
4,S2 (BLS AG (bls))
3,7 (Städtische Verkehrsbetriebe Bern)
2,S31 (BLS AG (bls))
2,S1 (BLS AG (bls))
2,6 (Städtische Verkehrsbetriebe Bern)
1,RE1 (BLS AG (bls))
1,IR65 (BLS AG (bls))
1,S51 (BLS AG (bls))
1,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
1,IR15 (Schweizerische Bundesbahnen SBB)
1,S8 (Regionalverkehr Bern-Solothurn)
1,36 (Autobusbetrieb RBS)
1,34 (Autobusbetrieb RBS)
