Fahrten,Namen
1104,Bern - Moosseedorf
445,Bern - Mattstetten
153,Moosseedorf - Rapperswil (BE)
149,Moosseedorf - Zollikofen
139,Ittigen - Moosseedorf
134,Mattstetten - Rapperswil (BE)
100,Moosseedorf - Ostermundigen
88,Ittigen - Mattstetten
87,Mattstetten - Zollikofen
55,Köniz - Moosseedorf
45,Mattstetten - Ostermundigen
42,Lyss - Moosseedorf
41,Lyss - Mattstetten
40,Moosseedorf - Muri bei Bern
35,Burgdorf - Moosseedorf
33,Köniz - Mattstetten
32,Jegenstorf - Moosseedorf
26,Mattstetten - Schüpfen
26,Moosseedorf - Schüpfen
25,Bolligen - Mattstetten
