Fahrten,Namen
617,RE5 (Regionalverkehr Bern-Solothurn)
67,20 (Städtische Verkehrsbetriebe Bern)
34,10 (Städtische Verkehrsbetriebe Bern)
27,8 (Städtische Verkehrsbetriebe Bern)
27,S44 (BLS AG (bls))
26,S2 (BLS AG (bls))
20,12 (Städtische Verkehrsbetriebe Bern)
19,871 (Autobusbetrieb RBS)
14,7 (Städtische Verkehrsbetriebe Bern)
14,IR65 (BLS AG (bls))
11,6 (Städtische Verkehrsbetriebe Bern)
9,S1 (BLS AG (bls))
6,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
5,21 (Städtische Verkehrsbetriebe Bern)
4,9 (Städtische Verkehrsbetriebe Bern)
4,S4 (BLS AG (bls))
3,106 (PostAuto AG)
2,S35 (BLS AG (bls))
2,EC (Schweizerische Bundesbahnen SBB)
2,S3 (BLS AG (bls))
