Fahrten,Namen
369,Bern - Jegenstorf
13,Jegenstorf - Köniz
4,Belp - Jegenstorf
2,Jegenstorf - Zürich
2,Jegenstorf - Lyss
2,Jegenstorf - Olten
1,Jegenstorf - Muri bei Bern
1,Freimettigen - Jegenstorf
1,Jegenstorf - Kerzers
1,Jegenstorf - Langnau im Emmental
1,Jegenstorf - Wünnewil-Flamatt
1,Jegenstorf - Kehrsatz
1,Jegenstorf - Rubigen
0,Grosshöchstetten - Jegenstorf
0,Jegenstorf - Laupen
0,Jegenstorf - Toffen
0,Jegenstorf - Kloten
0,Jegenstorf - Wohlen bei Bern
0,Basel - Jegenstorf
0,Jegenstorf - Thurnen
