Fahrten,Namen
434,S8 (Regionalverkehr Bern-Solothurn)
43,RE5 (Regionalverkehr Bern-Solothurn)
24,IC61 (Schweizerische Bundesbahnen SBB)
24,RE1 (BLS AG (bls))
11,S3 (BLS AG (bls))
11,S11 (BLS AG (bls))
10,10 (Städtische Verkehrsbetriebe Bern)
10,17 (Städtische Verkehrsbetriebe Bern)
10,7 (Städtische Verkehrsbetriebe Bern)
8,S2 (BLS AG (bls))
6,9 (Städtische Verkehrsbetriebe Bern)
6,IC1 (Schweizerische Bundesbahnen SBB)
6,S7 (Regionalverkehr Bern-Solothurn)
6,S5 (BLS AG (bls))
6,3 (STI Bus AG)
5,IC6 (Schweizerische Bundesbahnen SBB)
5,S6 (BLS AG (bls))
5,IR17 (BLS AG (bls))
5,21 (STI Bus AG)
4,S20 (Schweizerische Bundesbahnen SBB)
