Fahrten,Namen
1325,RE5 (Regionalverkehr Bern-Solothurn)
258,S20 (Schweizerische Bundesbahnen SBB)
121,3 (Busbetrieb Solothurn und Umgebung)
81,5 (Busbetrieb Solothurn und Umgebung)
78,12 (Städtische Verkehrsbetriebe Bern)
77,2 (Busbetrieb Solothurn und Umgebung)
62,1 (Busbetrieb Solothurn und Umgebung)
51,20 (Städtische Verkehrsbetriebe Bern)
50,21 (Busbetrieb Grenchen und Umgebung)
36,9 (Städtische Verkehrsbetriebe Bern)
34,19 (Städtische Verkehrsbetriebe Bern)
31,S7 (Regionalverkehr Bern-Solothurn)
27,8 (Städtische Verkehrsbetriebe Bern)
22,10 (Städtische Verkehrsbetriebe Bern)
22,17 (Städtische Verkehrsbetriebe Bern)
20,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
18,7 (Busbetrieb Solothurn und Umgebung)
15,6 (Busbetrieb Solothurn und Umgebung)
13,RE1 (BLS AG (bls))
12,34 (Busbetrieb Grenchen und Umgebung)
