Fahrten,Namen
837,RE5 (Regionalverkehr Bern-Solothurn)
151,886 (PostAuto AG)
131,885 (PostAuto AG)
131,S20 (Schweizerische Bundesbahnen SBB)
45,2 (Busbetrieb Solothurn und Umgebung)
44,5 (Busbetrieb Solothurn und Umgebung)
38,7 (Busbetrieb Solothurn und Umgebung)
25,3 (Busbetrieb Solothurn und Umgebung)
23,S44 (BLS AG (bls))
22,884 (Autobusbetrieb RBS)
19,S8 (Regionalverkehr Bern-Solothurn)
17,882 (PostAuto AG)
17,1 (Busbetrieb Solothurn und Umgebung)
14,S11 (Aare Seeland mobil (snb))
13,20 (Städtische Verkehrsbetriebe Bern)
13,8 (Autobusbetrieb RBS)
11,21 (Busbetrieb Grenchen und Umgebung)
10,465 (Busland AG)
6,17 (Busbetrieb Solothurn und Umgebung)
6,26 (Busbetrieb Grenchen und Umgebung)
