Fahrten,Namen
123,Bern - Lohn-Ammannsegg
74,Lohn-Ammannsegg - Solothurn
61,Biberist - Lohn-Ammannsegg
45,Buchegg - Solothurn
37,Lohn-Ammannsegg - Zuchwil
26,Biberist - Buchegg
24,Bätterkinden - Lohn-Ammannsegg
21,Lüterkofen-Ichertswil - Solothurn
20,Grenchen - Lohn-Ammannsegg
18,Derendingen - Lohn-Ammannsegg
16,Gerlafingen - Lohn-Ammannsegg
15,Lohn-Ammannsegg - Luterbach
15,Lohn-Ammannsegg - Subingen
14,Lohn-Ammannsegg - Utzenstorf
14,Buchegg - Grenchen
11,Biberist - Lüterkofen-Ichertswil
10,Kirchberg (BE) - Lohn-Ammannsegg
9,Halten - Lohn-Ammannsegg
8,Buchegg - Lohn-Ammannsegg
8,Grenchen - Schnottwil
