Fahrten,Namen
1466,RE5 (Regionalverkehr Bern-Solothurn)
146,7 (Busbetrieb Solothurn und Umgebung)
134,20 (Städtische Verkehrsbetriebe Bern)
102,5 (Busbetrieb Solothurn und Umgebung)
98,S20 (Schweizerische Bundesbahnen SBB)
73,S11 (Aare Seeland mobil (snb))
71,2 (Busbetrieb Solothurn und Umgebung)
66,12 (Städtische Verkehrsbetriebe Bern)
57,8 (Städtische Verkehrsbetriebe Bern)
32,10 (Städtische Verkehrsbetriebe Bern)
30,6 (Städtische Verkehrsbetriebe Bern)
28,S2 (BLS AG (bls))
27,884 (Autobusbetrieb RBS)
21,7 (Städtische Verkehrsbetriebe Bern)
21,8 (Autobusbetrieb RBS)
20,RE1 (BLS AG (bls))
19,S41 (BLS AG (bls))
17,4 (Busbetrieb Solothurn und Umgebung)
14,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
13,9 (Städtische Verkehrsbetriebe Bern)
