Fahrten,Namen
1285,RE5 (Regionalverkehr Bern-Solothurn)
150,7 (Busbetrieb Solothurn und Umgebung)
145,5 (Busbetrieb Solothurn und Umgebung)
141,20 (Städtische Verkehrsbetriebe Bern)
127,S20 (Schweizerische Bundesbahnen SBB)
86,S11 (Aare Seeland mobil (snb))
57,12 (Städtische Verkehrsbetriebe Bern)
56,8 (Städtische Verkehrsbetriebe Bern)
56,1 (Busbetrieb Solothurn und Umgebung)
55,2 (Busbetrieb Solothurn und Umgebung)
46,10 (Städtische Verkehrsbetriebe Bern)
35,S7 (Regionalverkehr Bern-Solothurn)
33,S41 (BLS AG (bls))
29,6 (Städtische Verkehrsbetriebe Bern)
28,S2 (BLS AG (bls))
21,8 (Autobusbetrieb RBS)
20,7 (Städtische Verkehrsbetriebe Bern)
19,S31 (BLS AG (bls))
19,4 (Busbetrieb Solothurn und Umgebung)
18,RE1 (BLS AG (bls))
