Fahrten,Namen
1097,RE5 (Regionalverkehr Bern-Solothurn)
146,7 (Busbetrieb Solothurn und Umgebung)
106,20 (Städtische Verkehrsbetriebe Bern)
102,5 (Busbetrieb Solothurn und Umgebung)
98,S20 (Schweizerische Bundesbahnen SBB)
73,S11 (Aare Seeland mobil (snb))
52,2 (Busbetrieb Solothurn und Umgebung)
52,12 (Städtische Verkehrsbetriebe Bern)
51,8 (Städtische Verkehrsbetriebe Bern)
27,6 (Städtische Verkehrsbetriebe Bern)
26,10 (Städtische Verkehrsbetriebe Bern)
21,8 (Autobusbetrieb RBS)
21,S2 (BLS AG (bls))
19,S41 (BLS AG (bls))
17,7 (Städtische Verkehrsbetriebe Bern)
17,RE1 (BLS AG (bls))
17,4 (Busbetrieb Solothurn und Umgebung)
13,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
12,9 (Städtische Verkehrsbetriebe Bern)
7,S7 (Regionalverkehr Bern-Solothurn)
