Fahrten,Namen
2041,RE5 (Regionalverkehr Bern-Solothurn)
165,20 (Städtische Verkehrsbetriebe Bern)
146,7 (Busbetrieb Solothurn und Umgebung)
102,5 (Busbetrieb Solothurn und Umgebung)
98,S20 (Schweizerische Bundesbahnen SBB)
88,12 (Städtische Verkehrsbetriebe Bern)
82,8 (Städtische Verkehrsbetriebe Bern)
73,S11 (Aare Seeland mobil (snb))
71,2 (Busbetrieb Solothurn und Umgebung)
46,10 (Städtische Verkehrsbetriebe Bern)
43,S2 (BLS AG (bls))
37,6 (Städtische Verkehrsbetriebe Bern)
27,884 (Autobusbetrieb RBS)
25,7 (Städtische Verkehrsbetriebe Bern)
21,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
21,8 (Autobusbetrieb RBS)
21,RE1 (BLS AG (bls))
19,S41 (BLS AG (bls))
17,9 (Städtische Verkehrsbetriebe Bern)
17,4 (Busbetrieb Solothurn und Umgebung)
