Fahrten,Namen
1418,S7 (Regionalverkehr Bern-Solothurn)
52,12 (Städtische Verkehrsbetriebe Bern)
48,S8 (Regionalverkehr Bern-Solothurn)
32,10 (Städtische Verkehrsbetriebe Bern)
30,S31 (BLS AG (bls))
26,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
26,RE1 (BLS AG (bls))
21,IR65 (BLS AG (bls))
18,IC61 (Schweizerische Bundesbahnen SBB)
14,RE5 (Regionalverkehr Bern-Solothurn)
14,EC (Schweizerische Bundesbahnen SBB)
14,36 (Autobusbetrieb RBS)
13,S2 (BLS AG (bls))
11,IC1 (Schweizerische Bundesbahnen SBB)
11,791 (PostAuto AG)
11,8 (Städtische Verkehrsbetriebe Bern)
11,40 (Autobusbetrieb RBS)
10,IC8 (Schweizerische Bundesbahnen SBB)
9,S1 (BLS AG (bls))
8,S44 (BLS AG (bls))
