Fahrten,Namen
1438,RE5 (Regionalverkehr Bern-Solothurn)
366,884 (Autobusbetrieb RBS)
172,882 (PostAuto AG)
139,S8 (Regionalverkehr Bern-Solothurn)
130,363 (Autobusbetrieb RBS)
89,5 (Busbetrieb Solothurn und Umgebung)
60,S20 (Schweizerische Bundesbahnen SBB)
55,2 (Busbetrieb Solothurn und Umgebung)
48,IC5 (Schweizerische Bundesbahnen SBB)
43,20 (Städtische Verkehrsbetriebe Bern)
37,465 (Busland AG)
36,1 (Busbetrieb Solothurn und Umgebung)
33,12 (Städtische Verkehrsbetriebe Bern)
28,466 (Busland AG)
27,10 (Städtische Verkehrsbetriebe Bern)
27,7 (Busbetrieb Solothurn und Umgebung)
23,9 (Städtische Verkehrsbetriebe Bern)
16,3 (Busbetrieb Solothurn und Umgebung)
16,S7 (Regionalverkehr Bern-Solothurn)
15,7 (Städtische Verkehrsbetriebe Bern)
