Fahrten,Namen
606,RE5 (Regionalverkehr Bern-Solothurn)
101,884 (Autobusbetrieb RBS)
96,S8 (Regionalverkehr Bern-Solothurn)
38,S20 (Schweizerische Bundesbahnen SBB)
21,12 (Städtische Verkehrsbetriebe Bern)
16,20 (Städtische Verkehrsbetriebe Bern)
15,882 (PostAuto AG)
14,7 (Städtische Verkehrsbetriebe Bern)
13,9 (Städtische Verkehrsbetriebe Bern)
13,5 (Busbetrieb Solothurn und Umgebung)
11,10 (Städtische Verkehrsbetriebe Bern)
10,S7 (Regionalverkehr Bern-Solothurn)
9,IC5 (Schweizerische Bundesbahnen SBB)
8,363 (Autobusbetrieb RBS)
8,19 (Städtische Verkehrsbetriebe Bern)
7,8 (Städtische Verkehrsbetriebe Bern)
7,17 (Städtische Verkehrsbetriebe Bern)
6,S2 (BLS AG (bls))
6,6 (Städtische Verkehrsbetriebe Bern)
5,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
