Fahrten,Namen
236,Bern - Bätterkinden
54,Bern - Utzenstorf
40,Bätterkinden - Solothurn
33,Bern - Fraubrunnen
26,Bätterkinden - Mattstetten
18,Solothurn - Utzenstorf
16,Bätterkinden - Zuchwil
14,Fraubrunnen - Solothurn
11,Bätterkinden - Jegenstorf
10,Bern - Koppigen
10,Bätterkinden - Köniz
10,Bätterkinden - Ittigen
10,Bätterkinden - Zollikofen
8,Biel/Bienne - Bätterkinden
6,Bätterkinden - Moosseedorf
6,Biberist - Bätterkinden
5,Bätterkinden - Fraubrunnen
5,Bätterkinden - Ostermundigen
5,Bätterkinden - Grenchen
5,Köniz - Utzenstorf
