Fahrten,Namen
576,S7 (Regionalverkehr Bern-Solothurn)
138,47 (Autobusbetrieb RBS)
81,451 (PostAuto AG)
51,8 (Städtische Verkehrsbetriebe Bern)
19,10 (Städtische Verkehrsbetriebe Bern)
14,7 (Städtische Verkehrsbetriebe Bern)
12,19 (Städtische Verkehrsbetriebe Bern)
12,20 (Städtische Verkehrsbetriebe Bern)
12,IR65 (BLS AG (bls))
12,17 (Städtische Verkehrsbetriebe Bern)
11,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
10,46 (Autobusbetrieb RBS)
10,S4 (BLS AG (bls))
9,9 (Städtische Verkehrsbetriebe Bern)
9,12 (Städtische Verkehrsbetriebe Bern)
9,S1 (BLS AG (bls))
7,S52 (BLS AG (bls))
7,106 (PostAuto AG)
5,S44 (BLS AG (bls))
4,S3 (BLS AG (bls))
