Fahrten,Namen
953,RE5 (Regionalverkehr Bern-Solothurn)
271,465 (Busland AG)
125,S8 (Regionalverkehr Bern-Solothurn)
55,IR35 (Schweizerische Bundesbahnen SBB)
43,20 (Städtische Verkehrsbetriebe Bern)
32,S20 (Schweizerische Bundesbahnen SBB)
30,S44 (BLS AG (bls))
30,S4 (BLS AG (bls))
24,10 (Städtische Verkehrsbetriebe Bern)
23,5 (Busbetrieb Solothurn und Umgebung)
21,12 (Städtische Verkehrsbetriebe Bern)
17,S7 (Regionalverkehr Bern-Solothurn)
16,1 (Busbetrieb Solothurn und Umgebung)
15,8 (Städtische Verkehrsbetriebe Bern)
15,7 (Städtische Verkehrsbetriebe Bern)
13,6 (Städtische Verkehrsbetriebe Bern)
13,IC5 (Schweizerische Bundesbahnen SBB)
12,884 (Autobusbetrieb RBS)
11,9 (Städtische Verkehrsbetriebe Bern)
11,S3 (BLS AG (bls))
