Fahrten,Namen
332,Bern - Fraubrunnen
12,Fraubrunnen - Ittigen
11,Fraubrunnen - Zollikofen
10,Fraubrunnen - Solothurn
10,Fraubrunnen - Köniz
5,Bätterkinden - Fraubrunnen
5,Fraubrunnen - Mattstetten
5,Fraubrunnen - Moosseedorf
4,Fraubrunnen - Muri bei Bern
2,Fraubrunnen - Jegenstorf
2,Fraubrunnen - Thun
2,Bremgarten bei Bern - Fraubrunnen
2,Fraubrunnen - Zuchwil
1,Fraubrunnen - Olten
1,Belp - Fraubrunnen
1,Düdingen - Fraubrunnen
1,Lohn-Ammannsegg - Lyssach
1,Bolligen - Fraubrunnen
1,Fraubrunnen - Ostermundigen
1,Fraubrunnen - Langenthal
