Fahrten,Namen
314,S7 (Regionalverkehr Bern-Solothurn)
98,40 (Autobusbetrieb RBS)
74,IR65 (BLS AG (bls))
33,RE2 (Transports publics fribourgeois)
32,EC (Schweizerische Bundesbahnen SBB)
23,IR16 (Schweizerische Bundesbahnen SBB)
20,IC1 (Schweizerische Bundesbahnen SBB)
12,IR35 (Schweizerische Bundesbahnen SBB)
8,10 (Städtische Verkehrsbetriebe Bern)
8,6 (Verkehrsbetriebe Biel)
7,S1 (BLS AG (bls))
7,8 (Städtische Verkehrsbetriebe Bern)
6,IC61 (Schweizerische Bundesbahnen SBB)
6,RE5 (Regionalverkehr Bern-Solothurn)
6,2 (Service d'automobiles TPF)
5,RE9 (BLS AG (bls))
5,12 (Städtische Verkehrsbetriebe Bern)
5,1 (Service d'automobiles TPF)
4,1 (Verkehrsbetriebe Biel)
4,17 (Städtische Verkehrsbetriebe Bern)
