Fahrten,Namen
1030,RE5 (Regionalverkehr Bern-Solothurn)
352,2 (Busbetrieb Solothurn und Umgebung)
144,3 (Busbetrieb Solothurn und Umgebung)
69,S8 (Regionalverkehr Bern-Solothurn)
39,6 (Busbetrieb Solothurn und Umgebung)
39,20 (Städtische Verkehrsbetriebe Bern)
39,884 (Autobusbetrieb RBS)
37,882 (PostAuto AG)
34,12 (Städtische Verkehrsbetriebe Bern)
32,885 (PostAuto AG)
26,886 (PostAuto AG)
22,S7 (Regionalverkehr Bern-Solothurn)
21,465 (Busland AG)
19,10 (Städtische Verkehrsbetriebe Bern)
13,8 (Städtische Verkehrsbetriebe Bern)
10,S20 (Schweizerische Bundesbahnen SBB)
10,9 (Städtische Verkehrsbetriebe Bern)
9,8 (Autobusbetrieb RBS)
8,S2 (BLS AG (bls))
8,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
