Fahrten,Namen
52,S7 (Regionalverkehr Bern-Solothurn)
5,10 (Städtische Verkehrsbetriebe Bern)
3,EC (Schweizerische Bundesbahnen SBB)
2,7 (Städtische Verkehrsbetriebe Bern)
2,S52 (BLS AG (bls))
1,IR65 (BLS AG (bls))
1,S3 (BLS AG (bls))
1,IC1 (Schweizerische Bundesbahnen SBB)
1,IR35 (Schweizerische Bundesbahnen SBB)
1,RE5 (Regionalverkehr Bern-Solothurn)
1,S6 (BLS AG (bls))
0,20 (Städtische Verkehrsbetriebe Bern)
0,19 (Städtische Verkehrsbetriebe Bern)
0,RE9 (BLS AG (bls))
0,IR16 (Schweizerische Bundesbahnen SBB)
0,10 (Verkehrsbetriebe Zürich INFO+)
0,IC61 (Schweizerische Bundesbahnen SBB)
0,4 (Verkehrsbetriebe Zürich INFO+)
0,S11 (Schweizerische Bundesbahnen SBB)
0,64 (Automobildienste Aare Seeland mobil)
