Fahrten,Namen
3757,RE5 (Regionalverkehr Bern-Solothurn)
758,S20 (Schweizerische Bundesbahnen SBB)
449,5 (Busbetrieb Solothurn und Umgebung)
268,1 (Busbetrieb Solothurn und Umgebung)
255,S8 (Regionalverkehr Bern-Solothurn)
250,7 (Busbetrieb Solothurn und Umgebung)
186,20 (Städtische Verkehrsbetriebe Bern)
151,S11 (Aare Seeland mobil (snb))
137,12 (Städtische Verkehrsbetriebe Bern)
120,884 (Autobusbetrieb RBS)
111,465 (Busland AG)
106,886 (PostAuto AG)
91,882 (PostAuto AG)
90,IC5 (Schweizerische Bundesbahnen SBB)
85,8 (Städtische Verkehrsbetriebe Bern)
81,21 (Busbetrieb Grenchen und Umgebung)
76,S7 (Regionalverkehr Bern-Solothurn)
74,10 (Städtische Verkehrsbetriebe Bern)
70,2 (Busbetrieb Solothurn und Umgebung)
70,885 (PostAuto AG)
