Fahrten,Namen
511,S7 (Regionalverkehr Bern-Solothurn)
75,781 (PostAuto AG)
45,7 (Städtische Verkehrsbetriebe Bern)
22,10 (Städtische Verkehrsbetriebe Bern)
17,19 (Städtische Verkehrsbetriebe Bern)
15,S52 (BLS AG (bls))
13,S44 (BLS AG (bls))
12,8 (Städtische Verkehrsbetriebe Bern)
11,20 (Städtische Verkehrsbetriebe Bern)
11,EC (Schweizerische Bundesbahnen SBB)
10,S3 (BLS AG (bls))
10,17 (Städtische Verkehrsbetriebe Bern)
9,IR35 (Schweizerische Bundesbahnen SBB)
8,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
7,9 (Städtische Verkehrsbetriebe Bern)
7,S1 (BLS AG (bls))
5,S2 (BLS AG (bls))
4,465 (Busland AG)
4,RE1 (BLS AG (bls))
4,IR65 (BLS AG (bls))
