Fahrten,Namen
41,S7 (Regionalverkehr Bern-Solothurn)
4,EC (Schweizerische Bundesbahnen SBB)
3,7 (Städtische Verkehrsbetriebe Bern)
2,19 (Städtische Verkehrsbetriebe Bern)
2,10 (Städtische Verkehrsbetriebe Bern)
2,IR65 (BLS AG (bls))
2,17 (Städtische Verkehrsbetriebe Bern)
1,781 (PostAuto AG)
1,RE1 (BLS AG (bls))
0,IR16 (Schweizerische Bundesbahnen SBB)
0,RE5 (Regionalverkehr Bern-Solothurn)
0,IR35 (Schweizerische Bundesbahnen SBB)
0,IC1 (Schweizerische Bundesbahnen SBB)
0,10 (Verkehrsbetriebe Zürich INFO+)
0,6 (Verkehrsbetriebe Biel)
0,RE9 (BLS AG (bls))
0,S6 (BLS AG (bls))
0,RE7 (BLS AG (bls))
0,1 (Verkehrsbetriebe Biel)
