Fahrten,Namen
1042,S7 (Regionalverkehr Bern-Solothurn)
76,8 (Städtische Verkehrsbetriebe Bern)
61,10 (Städtische Verkehrsbetriebe Bern)
58,RE1 (BLS AG (bls))
46,7 (Städtische Verkehrsbetriebe Bern)
42,12 (Städtische Verkehrsbetriebe Bern)
38,9 (Städtische Verkehrsbetriebe Bern)
35,S2 (BLS AG (bls))
31,RE5 (Regionalverkehr Bern-Solothurn)
26,IR65 (BLS AG (bls))
22,6 (Städtische Verkehrsbetriebe Bern)
19,S4 (BLS AG (bls))
15,RE7 (BLS AG (bls))
11,21 (Städtische Verkehrsbetriebe Bern)
10,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
10,S8 (Regionalverkehr Bern-Solothurn)
10,IC81 (Schweizerische Bundesbahnen SBB)
9,S5 (BLS AG (bls))
8,IC1 (Schweizerische Bundesbahnen SBB)
8,33 (Autobusbetrieb RBS)
