Fahrten,Namen
353,S7 (Regionalverkehr Bern-Solothurn)
46,RE1 (BLS AG (bls))
24,RE5 (Regionalverkehr Bern-Solothurn)
24,IR65 (BLS AG (bls))
17,12 (Städtische Verkehrsbetriebe Bern)
14,S4 (BLS AG (bls))
12,10 (Städtische Verkehrsbetriebe Bern)
10,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
10,RE7 (BLS AG (bls))
7,IC1 (Schweizerische Bundesbahnen SBB)
7,IC81 (Schweizerische Bundesbahnen SBB)
6,IC8 (Schweizerische Bundesbahnen SBB)
5,S1 (BLS AG (bls))
5,S8 (Regionalverkehr Bern-Solothurn)
4,S44 (BLS AG (bls))
3,S20 (Schweizerische Bundesbahnen SBB)
3,S31 (BLS AG (bls))
3,IC61 (Schweizerische Bundesbahnen SBB)
2,EC (Schweizerische Bundesbahnen SBB)
2,S2 (BLS AG (bls))
