Fahrten,Namen
292,S7 (Regionalverkehr Bern-Solothurn)
24,10 (Städtische Verkehrsbetriebe Bern)
23,8 (Städtische Verkehrsbetriebe Bern)
16,12 (Städtische Verkehrsbetriebe Bern)
15,20 (Städtische Verkehrsbetriebe Bern)
10,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
9,6 (Städtische Verkehrsbetriebe Bern)
8,S2 (BLS AG (bls))
7,9 (Städtische Verkehrsbetriebe Bern)
7,7 (Städtische Verkehrsbetriebe Bern)
6,RE1 (BLS AG (bls))
5,S31 (BLS AG (bls))
4,S1 (BLS AG (bls))
4,21 (Städtische Verkehrsbetriebe Bern)
3,S4 (BLS AG (bls))
2,IC61 (Schweizerische Bundesbahnen SBB)
2,RE7 (BLS AG (bls))
2,11 (Städtische Verkehrsbetriebe Bern)
2,IR35 (Schweizerische Bundesbahnen SBB)
1,S44 (BLS AG (bls))
