Fahrten,Namen
1713,S7 (Regionalverkehr Bern-Solothurn)
138,47 (Autobusbetrieb RBS)
95,795 (PostAuto AG)
92,7 (Städtische Verkehrsbetriebe Bern)
81,451 (PostAuto AG)
81,8 (Städtische Verkehrsbetriebe Bern)
77,10 (Städtische Verkehrsbetriebe Bern)
75,781 (PostAuto AG)
49,S52 (BLS AG (bls))
46,19 (Städtische Verkehrsbetriebe Bern)
46,S3 (BLS AG (bls))
38,20 (Städtische Verkehrsbetriebe Bern)
38,9 (Städtische Verkehrsbetriebe Bern)
38,17 (Städtische Verkehrsbetriebe Bern)
29,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
27,IR35 (Schweizerische Bundesbahnen SBB)
23,EC (Schweizerische Bundesbahnen SBB)
23,S44 (BLS AG (bls))
20,S4 (BLS AG (bls))
19,IR65 (BLS AG (bls))
