Fahrten,Namen
4235,S7 (Regionalverkehr Bern-Solothurn)
327,8 (Städtische Verkehrsbetriebe Bern)
323,10 (Städtische Verkehrsbetriebe Bern)
203,40 (Autobusbetrieb RBS)
138,47 (Autobusbetrieb RBS)
127,7 (Städtische Verkehrsbetriebe Bern)
118,19 (Städtische Verkehrsbetriebe Bern)
104,IR65 (BLS AG (bls))
95,795 (PostAuto AG)
90,9 (Städtische Verkehrsbetriebe Bern)
89,17 (Städtische Verkehrsbetriebe Bern)
81,451 (PostAuto AG)
77,EC (Schweizerische Bundesbahnen SBB)
75,781 (PostAuto AG)
75,12 (Städtische Verkehrsbetriebe Bern)
74,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
66,S52 (BLS AG (bls))
65,20 (Städtische Verkehrsbetriebe Bern)
58,106 (PostAuto AG)
47,101 (PostAuto AG)
