Fahrten,Namen
417,S7 (Regionalverkehr Bern-Solothurn)
95,795 (PostAuto AG)
29,S3 (BLS AG (bls))
27,10 (Städtische Verkehrsbetriebe Bern)
20,S52 (BLS AG (bls))
20,9 (Städtische Verkehrsbetriebe Bern)
17,7 (Städtische Verkehrsbetriebe Bern)
15,8 (Städtische Verkehrsbetriebe Bern)
13,17 (Städtische Verkehrsbetriebe Bern)
13,IR35 (Schweizerische Bundesbahnen SBB)
11,20 (Städtische Verkehrsbetriebe Bern)
10,19 (Städtische Verkehrsbetriebe Bern)
9,EC (Schweizerische Bundesbahnen SBB)
8,794 (PostAuto AG)
7,S4 (BLS AG (bls))
6,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
4,RE1 (BLS AG (bls))
4,S44 (BLS AG (bls))
3,IR65 (BLS AG (bls))
3,792 (PostAuto AG)
