Fahrten,Namen
58,S7 (Regionalverkehr Bern-Solothurn)
5,10 (Städtische Verkehrsbetriebe Bern)
4,EC (Schweizerische Bundesbahnen SBB)
4,7 (Städtische Verkehrsbetriebe Bern)
2,IR65 (BLS AG (bls))
2,S3 (BLS AG (bls))
2,S52 (BLS AG (bls))
1,IC1 (Schweizerische Bundesbahnen SBB)
1,RE5 (Regionalverkehr Bern-Solothurn)
1,IR35 (Schweizerische Bundesbahnen SBB)
1,795 (PostAuto AG)
1,S6 (BLS AG (bls))
1,10 (Verkehrsbetriebe Zürich INFO+)
0,20 (Städtische Verkehrsbetriebe Bern)
0,19 (Städtische Verkehrsbetriebe Bern)
0,4 (Verkehrsbetriebe Zürich INFO+)
0,RE9 (BLS AG (bls))
0,550 (PostAuto AG)
0,IR16 (Schweizerische Bundesbahnen SBB)
0,S20 (Schweizerische Bundesbahnen SBB)
