Fahrten,Namen
862,S7 (Regionalverkehr Bern-Solothurn)
56,40 (Autobusbetrieb RBS)
47,44 (Autobusbetrieb RBS)
39,S8 (Regionalverkehr Bern-Solothurn)
30,36 (Autobusbetrieb RBS)
27,7 (Städtische Verkehrsbetriebe Bern)
18,12 (Städtische Verkehrsbetriebe Bern)
18,6 (Städtische Verkehrsbetriebe Bern)
16,8 (Städtische Verkehrsbetriebe Bern)
14,20 (Städtische Verkehrsbetriebe Bern)
12,S2 (BLS AG (bls))
11,46 (Autobusbetrieb RBS)
9,9 (Städtische Verkehrsbetriebe Bern)
9,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
9,10 (Städtische Verkehrsbetriebe Bern)
8,21 (Städtische Verkehrsbetriebe Bern)
8,S9 (Regionalverkehr Bern-Solothurn)
7,S4 (BLS AG (bls))
7,19 (Städtische Verkehrsbetriebe Bern)
6,S52 (BLS AG (bls))
