Fahrten,Namen
27,S7 (Regionalverkehr Bern-Solothurn)
5,S8 (Regionalverkehr Bern-Solothurn)
2,S31 (BLS AG (bls))
2,RE1 (BLS AG (bls))
1,IC61 (Schweizerische Bundesbahnen SBB)
1,5 (STI Bus AG)
1,451 (PostAuto AG)
1,IC1 (Schweizerische Bundesbahnen SBB)
1,S6 (BLS AG (bls))
0,EC (Schweizerische Bundesbahnen SBB)
0,IR65 (BLS AG (bls))
0,10 (Verkehrsbetriebe Zürich INFO+)
0,IR17 (BLS AG (bls))
0,IR16 (Schweizerische Bundesbahnen SBB)
0,S1 (BLS AG (bls))
0,S3 (BLS AG (bls))
0,5 (Verkehrsbetriebe Biel)
0,IC81 (Schweizerische Bundesbahnen SBB)
0,6 (Städtische Verkehrsbetriebe Bern)
0,2 (Verkehrsbetriebe Biel)
