Fahrten,Namen
11634,S7 (Regionalverkehr Bern-Solothurn)
721,8 (Städtische Verkehrsbetriebe Bern)
613,40 (Autobusbetrieb RBS)
575,10 (Städtische Verkehrsbetriebe Bern)
432,S8 (Regionalverkehr Bern-Solothurn)
428,451 (PostAuto AG)
316,7 (Städtische Verkehrsbetriebe Bern)
316,12 (Städtische Verkehrsbetriebe Bern)
304,46 (Autobusbetrieb RBS)
294,20 (Städtische Verkehrsbetriebe Bern)
289,S2 (BLS AG (bls))
248,9 (Städtische Verkehrsbetriebe Bern)
196,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
191,41 (Autobusbetrieb RBS)
190,781 (PostAuto AG)
185,47 (Autobusbetrieb RBS)
180,6 (Städtische Verkehrsbetriebe Bern)
153,RE1 (BLS AG (bls))
141,36 (Autobusbetrieb RBS)
131,S9 (Regionalverkehr Bern-Solothurn)
