Fahrten,Namen
361,S7 (Regionalverkehr Bern-Solothurn)
95,795 (PostAuto AG)
27,S3 (BLS AG (bls))
24,10 (Städtische Verkehrsbetriebe Bern)
19,9 (Städtische Verkehrsbetriebe Bern)
18,S52 (BLS AG (bls))
14,8 (Städtische Verkehrsbetriebe Bern)
12,17 (Städtische Verkehrsbetriebe Bern)
11,7 (Städtische Verkehrsbetriebe Bern)
10,IR35 (Schweizerische Bundesbahnen SBB)
10,20 (Städtische Verkehrsbetriebe Bern)
8,794 (PostAuto AG)
7,19 (Städtische Verkehrsbetriebe Bern)
7,EC (Schweizerische Bundesbahnen SBB)
7,S4 (BLS AG (bls))
5,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
4,RE1 (BLS AG (bls))
3,IR65 (BLS AG (bls))
3,S44 (BLS AG (bls))
3,792 (PostAuto AG)
