Fahrten,Namen
165,S7 (Regionalverkehr Bern-Solothurn)
95,795 (PostAuto AG)
14,9 (Städtische Verkehrsbetriebe Bern)
9,8 (Städtische Verkehrsbetriebe Bern)
8,794 (PostAuto AG)
7,10 (Städtische Verkehrsbetriebe Bern)
7,17 (Städtische Verkehrsbetriebe Bern)
5,7 (Städtische Verkehrsbetriebe Bern)
5,S3 (BLS AG (bls))
5,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
5,S52 (BLS AG (bls))
4,19 (Städtische Verkehrsbetriebe Bern)
4,RE1 (BLS AG (bls))
3,20 (Städtische Verkehrsbetriebe Bern)
3,792 (PostAuto AG)
3,793 (PostAuto AG)
2,106 (PostAuto AG)
2,791 (PostAuto AG)
2,IR35 (Schweizerische Bundesbahnen SBB)
2,IR65 (BLS AG (bls))
