Fahrten,Namen
6791,S7 (Regionalverkehr Bern-Solothurn)
470,8 (Städtische Verkehrsbetriebe Bern)
314,10 (Städtische Verkehrsbetriebe Bern)
299,S2 (BLS AG (bls))
282,12 (Städtische Verkehrsbetriebe Bern)
248,46 (Autobusbetrieb RBS)
235,7 (Städtische Verkehrsbetriebe Bern)
230,20 (Städtische Verkehrsbetriebe Bern)
198,RE1 (BLS AG (bls))
196,9 (Städtische Verkehrsbetriebe Bern)
177,6 (Städtische Verkehrsbetriebe Bern)
162,41 (Autobusbetrieb RBS)
154,451 (PostAuto AG)
132,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
100,21 (Städtische Verkehrsbetriebe Bern)
89,RE5 (Regionalverkehr Bern-Solothurn)
86,S4 (BLS AG (bls))
81,IC61 (Schweizerische Bundesbahnen SBB)
79,781 (PostAuto AG)
74,S1 (BLS AG (bls))
