Fahrten,Namen
1564,S7 (Regionalverkehr Bern-Solothurn)
106,RE1 (BLS AG (bls))
60,12 (Städtische Verkehrsbetriebe Bern)
56,IC61 (Schweizerische Bundesbahnen SBB)
53,RE5 (Regionalverkehr Bern-Solothurn)
51,IC1 (Schweizerische Bundesbahnen SBB)
37,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
34,IR65 (BLS AG (bls))
34,S31 (BLS AG (bls))
32,IC8 (Schweizerische Bundesbahnen SBB)
30,10 (Städtische Verkehrsbetriebe Bern)
26,IC81 (Schweizerische Bundesbahnen SBB)
26,EC (Schweizerische Bundesbahnen SBB)
21,S1 (BLS AG (bls))
18,S2 (BLS AG (bls))
18,S4 (BLS AG (bls))
16,IC6 (Schweizerische Bundesbahnen SBB)
14,RE7 (BLS AG (bls))
14,5 (STI Bus AG)
14,IR17 (BLS AG (bls))
