Fahrten,Namen
604,S7 (Regionalverkehr Bern-Solothurn)
53,44 (Autobusbetrieb RBS)
44,40 (Autobusbetrieb RBS)
23,S3 (BLS AG (bls))
21,10 (Städtische Verkehrsbetriebe Bern)
19,S4 (BLS AG (bls))
16,S8 (Regionalverkehr Bern-Solothurn)
13,S52 (BLS AG (bls))
13,20 (Städtische Verkehrsbetriebe Bern)
13,781 (PostAuto AG)
11,8 (Städtische Verkehrsbetriebe Bern)
11,6 (Städtische Verkehrsbetriebe Bern)
10,IR35 (Schweizerische Bundesbahnen SBB)
10,36 (Autobusbetrieb RBS)
7,9 (Städtische Verkehrsbetriebe Bern)
7,7 (Städtische Verkehrsbetriebe Bern)
7,451 (PostAuto AG)
7,EC (Schweizerische Bundesbahnen SBB)
7,S2 (BLS AG (bls))
6,794 (PostAuto AG)
