Fahrten,Namen
1748,S7 (Regionalverkehr Bern-Solothurn)
321,781 (PostAuto AG)
188,44 (Autobusbetrieb RBS)
97,6 (Städtische Verkehrsbetriebe Bern)
85,40 (Autobusbetrieb RBS)
53,7 (Städtische Verkehrsbetriebe Bern)
52,10 (Städtische Verkehrsbetriebe Bern)
45,8 (Städtische Verkehrsbetriebe Bern)
43,S8 (Regionalverkehr Bern-Solothurn)
38,20 (Städtische Verkehrsbetriebe Bern)
30,S2 (BLS AG (bls))
26,36 (Autobusbetrieb RBS)
25,S1 (BLS AG (bls))
23,S4 (BLS AG (bls))
23,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
23,12 (Städtische Verkehrsbetriebe Bern)
21,794 (PostAuto AG)
18,9 (Städtische Verkehrsbetriebe Bern)
17,791 (PostAuto AG)
17,19 (Städtische Verkehrsbetriebe Bern)
