Fahrten,Namen
12797,S7 (Regionalverkehr Bern-Solothurn)
909,8 (Städtische Verkehrsbetriebe Bern)
806,10 (Städtische Verkehrsbetriebe Bern)
409,12 (Städtische Verkehrsbetriebe Bern)
389,7 (Städtische Verkehrsbetriebe Bern)
350,9 (Städtische Verkehrsbetriebe Bern)
324,S2 (BLS AG (bls))
309,20 (Städtische Verkehrsbetriebe Bern)
267,6 (Städtische Verkehrsbetriebe Bern)
258,46 (Autobusbetrieb RBS)
235,451 (PostAuto AG)
227,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
212,40 (Autobusbetrieb RBS)
211,RE1 (BLS AG (bls))
181,41 (Autobusbetrieb RBS)
154,781 (PostAuto AG)
143,IR65 (BLS AG (bls))
142,S3 (BLS AG (bls))
142,47 (Autobusbetrieb RBS)
139,19 (Städtische Verkehrsbetriebe Bern)
