Fahrten,Namen
851,RE5 (Regionalverkehr Bern-Solothurn)
316,S20 (Schweizerische Bundesbahnen SBB)
64,21 (Busbetrieb Grenchen und Umgebung)
60,12 (Städtische Verkehrsbetriebe Bern)
33,20 (Städtische Verkehrsbetriebe Bern)
32,S7 (Regionalverkehr Bern-Solothurn)
28,19 (Städtische Verkehrsbetriebe Bern)
27,9 (Städtische Verkehrsbetriebe Bern)
24,8 (Städtische Verkehrsbetriebe Bern)
23,17 (Busbetrieb Solothurn und Umgebung)
22,S11 (Aare Seeland mobil (snb))
20,10 (Städtische Verkehrsbetriebe Bern)
20,34 (Busbetrieb Grenchen und Umgebung)
17,17 (Städtische Verkehrsbetriebe Bern)
12,S1 (BLS AG (bls))
11,RE1 (BLS AG (bls))
11,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
7,S41 (BLS AG (bls))
7,26 (Busbetrieb Grenchen und Umgebung)
7,101 (PostAuto AG)
