Fahrten,Namen
2896,S8 (Regionalverkehr Bern-Solothurn)
2887,S7 (Regionalverkehr Bern-Solothurn)
239,IR65 (BLS AG (bls))
211,10 (Städtische Verkehrsbetriebe Bern)
202,RE1 (BLS AG (bls))
172,IC61 (Schweizerische Bundesbahnen SBB)
146,12 (Städtische Verkehrsbetriebe Bern)
127,IR17 (BLS AG (bls))
117,EC (Schweizerische Bundesbahnen SBB)
114,IC81 (Schweizerische Bundesbahnen SBB)
114,IC1 (Schweizerische Bundesbahnen SBB)
98,40 (Autobusbetrieb RBS)
97,S5 (BLS AG (bls))
97,IC6 (Schweizerische Bundesbahnen SBB)
96,8 (Städtische Verkehrsbetriebe Bern)
93,S3 (BLS AG (bls))
91,RE5 (Regionalverkehr Bern-Solothurn)
88,38 (Autobusbetrieb RBS)
81,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
79,S31 (BLS AG (bls))
