Fahrten,Namen
8259,S8 (Regionalverkehr Bern-Solothurn)
1055,38 (Autobusbetrieb RBS)
570,36 (Autobusbetrieb RBS)
551,10 (Städtische Verkehrsbetriebe Bern)
541,S31 (BLS AG (bls))
435,41 (Autobusbetrieb RBS)
403,S7 (Regionalverkehr Bern-Solothurn)
368,M11 (Busbetrieb Solothurn und Umgebung)
338,S3 (BLS AG (bls))
279,8 (Städtische Verkehrsbetriebe Bern)
233,12 (Städtische Verkehrsbetriebe Bern)
183,S2 (BLS AG (bls))
168,465 (Busland AG)
167,6 (Städtische Verkehrsbetriebe Bern)
151,S4 (BLS AG (bls))
148,RE5 (Regionalverkehr Bern-Solothurn)
127,451 (PostAuto AG)
115,7 (Städtische Verkehrsbetriebe Bern)
102,S11 (BLS AG (bls))
102,RE1 (BLS AG (bls))
