Fahrten,Namen
1020,S8 (Regionalverkehr Bern-Solothurn)
173,RE5 (Regionalverkehr Bern-Solothurn)
92,38 (Autobusbetrieb RBS)
48,10 (Städtische Verkehrsbetriebe Bern)
35,S2 (BLS AG (bls))
28,12 (Städtische Verkehrsbetriebe Bern)
23,8 (Städtische Verkehrsbetriebe Bern)
22,S7 (Regionalverkehr Bern-Solothurn)
21,RE1 (BLS AG (bls))
18,EC (Schweizerische Bundesbahnen SBB)
17,41 (Autobusbetrieb RBS)
13,S20 (Schweizerische Bundesbahnen SBB)
9,6 (Städtische Verkehrsbetriebe Bern)
9,107 (PostAuto AG)
9,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
8,S4 (BLS AG (bls))
8,7 (Busbetrieb Solothurn und Umgebung)
7,9 (Städtische Verkehrsbetriebe Bern)
6,7 (Städtische Verkehrsbetriebe Bern)
6,RE7 (BLS AG (bls))
