Fahrten,Namen
108,S31 (BLS AG (bls))
13,20 (Städtische Verkehrsbetriebe Bern)
8,S1 (BLS AG (bls))
7,7 (Städtische Verkehrsbetriebe Bern)
4,10 (Städtische Verkehrsbetriebe Bern)
4,8 (Städtische Verkehrsbetriebe Bern)
3,12 (Städtische Verkehrsbetriebe Bern)
3,104 (PostAuto AG)
3,S8 (Regionalverkehr Bern-Solothurn)
3,17 (Städtische Verkehrsbetriebe Bern)
2,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
2,101 (PostAuto AG)
2,21 (Städtische Verkehrsbetriebe Bern)
2,6 (Städtische Verkehrsbetriebe Bern)
1,S52 (BLS AG (bls))
1,130 (PostAuto AG)
1,IR35 (Schweizerische Bundesbahnen SBB)
1,19 (Städtische Verkehrsbetriebe Bern)
1,S6 (BLS AG (bls))
1,107 (PostAuto AG)
