Fahrten,Namen
2999,S8 (Regionalverkehr Bern-Solothurn)
465,RE5 (Regionalverkehr Bern-Solothurn)
263,465 (Busland AG)
243,S4 (BLS AG (bls))
139,S31 (BLS AG (bls))
134,10 (Städtische Verkehrsbetriebe Bern)
122,41 (Autobusbetrieb RBS)
122,38 (Autobusbetrieb RBS)
111,871 (Autobusbetrieb RBS)
99,36 (Autobusbetrieb RBS)
96,S7 (Regionalverkehr Bern-Solothurn)
68,S20 (Schweizerische Bundesbahnen SBB)
54,8 (Städtische Verkehrsbetriebe Bern)
50,884 (Autobusbetrieb RBS)
46,S2 (BLS AG (bls))
45,363 (Autobusbetrieb RBS)
42,12 (Städtische Verkehrsbetriebe Bern)
37,451 (PostAuto AG)
34,5 (Busbetrieb Solothurn und Umgebung)
34,S3 (BLS AG (bls))
