Fahrten,Namen
546,Bern - Jegenstorf
233,Jegenstorf - Mattstetten
164,Bern - Fraubrunnen
133,Bern - Mattstetten
110,Ittigen - Jegenstorf
106,Jegenstorf - Rapperswil (BE)
103,Fraubrunnen - Mattstetten
98,Burgdorf - Jegenstorf
93,Jegenstorf - Zollikofen
59,Jegenstorf - Moosseedorf
52,Lyssach - Mattstetten
36,Jegenstorf - Ostermundigen
35,Burgdorf - Fraubrunnen
34,Lyssach - Moosseedorf
33,Bern - Lyssach
31,Jegenstorf - Köniz
31,Bätterkinden - Mattstetten
29,Fraubrunnen - Zollikofen
26,Fraubrunnen - Rapperswil (BE)
25,Fraubrunnen - Moosseedorf
