Fahrten,Namen
271,S7 (Regionalverkehr Bern-Solothurn)
52,781 (PostAuto AG)
11,RE1 (BLS AG (bls))
9,S1 (BLS AG (bls))
8,S4 (BLS AG (bls))
7,S2 (BLS AG (bls))
5,S31 (BLS AG (bls))
4,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
4,IR35 (Schweizerische Bundesbahnen SBB)
3,RE7 (BLS AG (bls))
3,S44 (BLS AG (bls))
1,S3 (BLS AG (bls))
1,S41 (BLS AG (bls))
1,IR65 (BLS AG (bls))
1,S51 (BLS AG (bls))
1,RE5 (Regionalverkehr Bern-Solothurn)
0,160 (Städtische Verkehrsbetriebe Bern)
0,462 (Busland AG)
0,IC61 (Schweizerische Bundesbahnen SBB)
0,IC81 (Schweizerische Bundesbahnen SBB)
