Fahrten,Namen
179,S7 (Regionalverkehr Bern-Solothurn)
8,S2 (BLS AG (bls))
6,RE1 (BLS AG (bls))
5,S31 (BLS AG (bls))
4,S1 (BLS AG (bls))
4,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
3,S4 (BLS AG (bls))
2,IC61 (Schweizerische Bundesbahnen SBB)
2,RE7 (BLS AG (bls))
2,IR35 (Schweizerische Bundesbahnen SBB)
1,S44 (BLS AG (bls))
1,IR65 (BLS AG (bls))
1,5 (STI Bus AG)
1,20 (Städtische Verkehrsbetriebe Bern)
1,IR15 (Schweizerische Bundesbahnen SBB)
1,2 (STI Bus AG)
0,IC81 (Schweizerische Bundesbahnen SBB)
0,S3 (BLS AG (bls))
0,S41 (BLS AG (bls))
0,S51 (BLS AG (bls))
