Fahrten,Namen
233,S8 (Regionalverkehr Bern-Solothurn)
11,10 (Städtische Verkehrsbetriebe Bern)
10,884 (Autobusbetrieb RBS)
7,RE5 (Regionalverkehr Bern-Solothurn)
6,7 (Städtische Verkehrsbetriebe Bern)
6,41 (Autobusbetrieb RBS)
6,12 (Städtische Verkehrsbetriebe Bern)
6,17 (Städtische Verkehrsbetriebe Bern)
5,8 (Städtische Verkehrsbetriebe Bern)
4,S7 (Regionalverkehr Bern-Solothurn)
3,S2 (BLS AG (bls))
3,36 (Autobusbetrieb RBS)
2,S31 (BLS AG (bls))
2,882 (PostAuto AG)
2,20 (Städtische Verkehrsbetriebe Bern)
2,S4 (BLS AG (bls))
2,6 (Städtische Verkehrsbetriebe Bern)
1,S9 (Regionalverkehr Bern-Solothurn)
1,S3 (BLS AG (bls))
1,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
