Fahrten,Namen
153,Bern - Fraubrunnen
70,Fraubrunnen - Jegenstorf
56,Fraubrunnen - Mattstetten
52,Lyssach - Mattstetten
34,Lyssach - Moosseedorf
33,Bern - Lyssach
32,Jegenstorf - Lyssach
24,Jegenstorf - Kirchberg (BE)
19,Fraubrunnen - Rapperswil (BE)
19,Ittigen - Lyssach
18,Fraubrunnen - Ittigen
17,Burgdorf - Fraubrunnen
15,Lyssach - Rapperswil (BE)
14,Grossaffoltern - Mattstetten
14,Bätterkinden - Jegenstorf
13,Lyssach - Zollikofen
11,Mattstetten - Utzenstorf
11,Fraubrunnen - Moosseedorf
11,Kernenried - Mattstetten
10,Jegenstorf - Utzenstorf
