Fahrten,Namen
128,S7 (Regionalverkehr Bern-Solothurn)
12,S2 (BLS AG (bls))
6,S31 (BLS AG (bls))
4,RE1 (BLS AG (bls))
3,S4 (BLS AG (bls))
3,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
2,S51 (BLS AG (bls))
2,IC61 (Schweizerische Bundesbahnen SBB)
2,S44 (BLS AG (bls))
1,S3 (BLS AG (bls))
1,2 (STI Bus AG)
1,IR35 (Schweizerische Bundesbahnen SBB)
1,IR65 (BLS AG (bls))
1,570 (PostAuto AG)
1,5 (STI Bus AG)
1,S41 (BLS AG (bls))
1,S6 (BLS AG (bls))
1,160 (Städtische Verkehrsbetriebe Bern)
0,IC81 (Schweizerische Bundesbahnen SBB)
0,RE7 (BLS AG (bls))
