Fahrten,Namen
7,S7 (Regionalverkehr Bern-Solothurn)
2,S31 (BLS AG (bls))
2,RE1 (BLS AG (bls))
1,IC61 (Schweizerische Bundesbahnen SBB)
1,5 (STI Bus AG)
1,S6 (BLS AG (bls))
0,IR65 (BLS AG (bls))
0,EC (Schweizerische Bundesbahnen SBB)
0,IR17 (BLS AG (bls))
0,S1 (BLS AG (bls))
0,S3 (BLS AG (bls))
0,5 (Verkehrsbetriebe Biel)
0,IC81 (Schweizerische Bundesbahnen SBB)
0,2 (Verkehrsbetriebe Biel)
0,1 (Verkehrsbetriebe Biel)
0,RE3 (Transports publics fribourgeois)
0,IC1 (Schweizerische Bundesbahnen SBB)
0,RE5 (Regionalverkehr Bern-Solothurn)
0,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
0,S2 (BLS AG (bls))
