Fahrten,Namen
617,S7 (Regionalverkehr Bern-Solothurn)
165,46 (Autobusbetrieb RBS)
70,451 (PostAuto AG)
41,S2 (BLS AG (bls))
19,S31 (BLS AG (bls))
18,RE1 (BLS AG (bls))
11,S4 (BLS AG (bls))
6,IC61 (Schweizerische Bundesbahnen SBB)
6,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
6,IR35 (Schweizerische Bundesbahnen SBB)
4,S3 (BLS AG (bls))
3,IC8 (Schweizerische Bundesbahnen SBB)
3,47 (Autobusbetrieb RBS)
3,RE5 (Regionalverkehr Bern-Solothurn)
3,IR65 (BLS AG (bls))
3,S41 (BLS AG (bls))
2,S42 (BLS AG (bls))
2,RE7 (BLS AG (bls))
2,5 (STI Bus AG)
2,IC1 (Schweizerische Bundesbahnen SBB)
