Fahrten,Namen
25,S7 (Regionalverkehr Bern-Solothurn)
7,RE1 (BLS AG (bls))
3,S31 (BLS AG (bls))
3,IC8 (Schweizerische Bundesbahnen SBB)
3,46 (Autobusbetrieb RBS)
2,IC61 (Schweizerische Bundesbahnen SBB)
2,RE5 (Regionalverkehr Bern-Solothurn)
2,IR65 (BLS AG (bls))
1,5 (STI Bus AG)
1,S2 (BLS AG (bls))
1,47 (Autobusbetrieb RBS)
1,EC (Schweizerische Bundesbahnen SBB)
1,IC1 (Schweizerische Bundesbahnen SBB)
1,IC81 (Schweizerische Bundesbahnen SBB)
1,S1 (BLS AG (bls))
1,765 (Verkehrsbetriebe Glattal)
1,IC21 (Schweizerische Bundesbahnen SBB)
0,451 (PostAuto AG)
0,IR17 (BLS AG (bls))
0,1 (STI Bus AG)
