Fahrten,Namen
753,S7 (Regionalverkehr Bern-Solothurn)
63,S2 (BLS AG (bls))
28,S1 (BLS AG (bls))
22,S4 (BLS AG (bls))
21,RE1 (BLS AG (bls))
18,S31 (BLS AG (bls))
13,IC61 (Schweizerische Bundesbahnen SBB)
11,RE5 (Regionalverkehr Bern-Solothurn)
9,IR35 (Schweizerische Bundesbahnen SBB)
8,S44 (BLS AG (bls))
8,S41 (BLS AG (bls))
8,IC81 (Schweizerische Bundesbahnen SBB)
7,S3 (BLS AG (bls))
6,S51 (BLS AG (bls))
6,IR65 (BLS AG (bls))
6,IC8 (Schweizerische Bundesbahnen SBB)
5,IC1 (Schweizerische Bundesbahnen SBB)
5,RE7 (BLS AG (bls))
5,S5 (BLS AG (bls))
3,S52 (BLS AG (bls))
