Fahrten,Namen
396,S7 (Regionalverkehr Bern-Solothurn)
17,S31 (BLS AG (bls))
13,IC61 (Schweizerische Bundesbahnen SBB)
12,RE1 (BLS AG (bls))
8,RE5 (Regionalverkehr Bern-Solothurn)
7,S1 (BLS AG (bls))
6,S2 (BLS AG (bls))
6,IR65 (BLS AG (bls))
5,IC8 (Schweizerische Bundesbahnen SBB)
5,IC81 (Schweizerische Bundesbahnen SBB)
5,IC1 (Schweizerische Bundesbahnen SBB)
5,S51 (BLS AG (bls))
4,S44 (BLS AG (bls))
3,S4 (BLS AG (bls))
3,5 (STI Bus AG)
3,RE7 (BLS AG (bls))
3,S6 (BLS AG (bls))
3,2 (STI Bus AG)
2,IR17 (BLS AG (bls))
2,RE3 (Transports publics fribourgeois)
